Settore merceologico,Insegna,Tipo Via,Denominazione,Civico,Codice Via,Municipio,Superficie vendita[m²],Superficie altri usi[m²],Superficie totale[m²]
alimentare/non alimentare,toys center,VIA,CARNEVALI ANTONIO,116,1268,9,1499.0,1608.0,3107.0
alimentare/non alimentare,toys center,VIA,PITAGORA,4,2405,2,614.0,0.0,614.0
alimentare/non alimentare,unes,VIA,DE MARCHI EMILIO,10,1418,2,814.0,536.0,1350.0
alimentare/non alimentare,unes,VIA,DURAZZO,5,2658,3,932.0,1078.0,2010.0
alimentare/non alimentare,unes,VIA,SPALLANZANI LAZZARO,10,2153,3,865.0,711.0,1576.0
alimentare/non alimentare,unes,VIA,TRILUSSA,26,7367,8,814.0,1818.0,2632.0
alimentare/non alimentare,unes,VIA,VALLAZZE,87,2250,3,790.0,0.0,790.0
alimentare/non alimentare,unes,VIA,VARESINA,92,7290,8,300.0,260.0,560.0
alimentare/non alimentare,unes,VLE,BELISARIO,3,6360,8,650.0,1120.0,1770.0
alimentare/non alimentare,unes supermercati,VIA,MINERBI ARRIGO,1,5441,5,420.0,420.0,840.0
alimentare/non alimentare,unes supermercati,VIA,VAL DI SOLE,12,4295,5,310.0,310.0,620.0
alimentare/non alimentare,unes  u! come tu mi vuoi,VIA,VALLAZZE,104,2250,3,398.0,20.0,418.0
alimentare/non alimentare,upim,CSO,BUENOS AIRES,21,2129,3,3030.0,1577.0,4607.0
alimentare/non alimentare,upim,PLE,LORETO,5,2264,2,2416.0,1181.0,3597.0
alimentare/non alimentare,upim,PZA,FRATTINI PIETRO,8,5389,6,1060.0,650.0,1710.0
alimentare/non alimentare,upim,VIA,CUNEO,2,6281,7,2585.0,2323.0,4908.0
alimentare/non alimentare,upim,VIA,FARINI CARLO,79,1114,9,3643.0,1642.0,5285.0
alimentare/non alimentare,upim,VIA,MANCINI LODOVICO,2,3082,4,1854.0,981.0,2835.0
alimentare/non alimentare,upim,VIA,POLESINE,39,4159,4,2637.0,1140.0,3777.0
alimentare/non alimentare,upim,VIA,SPADARI,2,518,1,1652.0,1040.0,2692.0
alimentare/non alimentare,upim sma,CSO,SAN GOTTARDO,29,5203,5,3470.0,393.0,3863.0
alimentare/non alimentare,upim sma,VIA,MASOLINO DA PANICALE,7,7264,8,1819.0,785.0,2604.0
non alimentare,Mancante,BST,DI PORTA VOLTA,7,1066,1,380.0,215.0,595.0
non alimentare,Mancante,CSO,BUENOS AIRES,18,2129,3,300.0,0.0,300.0
non alimentare,Mancante,CSO,BUENOS AIRES,39,2129,3,425.0,65.0,490.0
non alimentare,Mancante,CSO,BUENOS AIRES,63,2129,3,812.0,261.0,1073.0
non alimentare,Mancante,CSO,DI PORTA TICINESE,12,541,1,926.0,264.0,1190.0
non alimentare,Mancante,CSO,EUROPA,22,300,1,1496.0,764.0,2260.0
non alimentare,Mancante,CSO,GARIBALDI GIUSEPPE,127,1010,1,273.0,0.0,273.0
non alimentare,Mancante,VIA,MAGGI CARLO MARIA,10,7115,1,725.0,130.0,855.0
non alimentare,Mancante,CSO,INDIPENDENZA,1,3118,3,450.0,1550.0,2000.0
non alimentare,Mancante,CSO,INDIPENDENZA,24,3118,3,850.0,630.0,1480.0
non alimentare,Mancante,CSO,ITALIA,40,526,1,292.0,100.0,392.0
non alimentare,Mancante,CSO,LODI,60,4068,4,255.0,0.0,255.0
non alimentare,Mancante,CSO,LODI,9,4068,4,340.0,0.0,340.0
non alimentare,Mancante,CSO,MAGENTA,10,604,1,530.0,50.0,580.0
non alimentare,Mancante,CSO,MATTEOTTI GIACOMO,14,218,1,267.0,0.0,267.0
non alimentare,Mancante,CSO,MATTEOTTI GIACOMO,8,218,1,300.0,80.0,380.0
non alimentare,Mancante,CSO,MONFORTE,20,348,1,480.0,95.0,575.0
non alimentare,Mancante,CSO,SAN GOTTARDO,35,5203,5,384.0,66.0,450.0
non alimentare,Mancante,CSO,SAN GOTTARDO,42,5203,5,500.0,250.0,750.0
non alimentare,Mancante,CSO,SEMPIONE,21,7137,8,256.0,18.0,274.0
non alimentare,Mancante,CSO,VENEZIA,14,238,1,1435.0,190.0,1625.0
non alimentare,Mancante,CSO,VENEZIA,2,238,1,475.0,0.0,475.0
non alimentare,Mancante,CSO,VENEZIA,5,238,1,410.0,187.0,597.0
non alimentare,Mancante,CSO,VERCELLI,16,6193,7,582.0,0.0,582.0
non alimentare,Mancante,CSO,VITTORIO EMANUELE II,13,214,1,710.0,259.0,969.0
non alimentare,Mancante,CSO,VITTORIO EMANUELE II,9,214,1,1500.0,0.0,1500.0
non alimentare,Mancante,CSO,VITTORIO EMANUELE II,24,214,1,913.0,27.0,940.0
non alimentare,Mancante,FOR,BUONAPARTE,24,711,1,519.0,223.0,742.0
non alimentare,Mancante,GLL,DEL CORSO,4,305,1,1217.0,380.0,1597.0
non alimentare,Mancante,GLL,PATTARI,2,296,1,1017.0,683.0,1700.0
non alimentare,Mancante,GLL,STRASBURGO,3,297,1,357.0,0.0,357.0
non alimentare,Mancante,LGO,BOCCIONI UMBERTO,6,7467,8,400.0,40.0,440.0
non alimentare,Mancante,LGO,DOMODOSSOLA,1,6140,8,563.0,467.0,1030.0
non alimentare,Mancante,LGO,ISARCO,2,4129,5,492.0,8.0,500.0
non alimentare,Mancante,LGO,RICHINI FRANCESCO,1,331,1,293.0,37.0,330.0
non alimentare,Mancante,PAS,DUOMO,2,102,1,600.0,150.0,750.0
non alimentare,Mancante,PLE,AQUILEIA,6,6205,7,320.0,0.0,320.0
non alimentare,Mancante,PLE,CHIESA DAMIANO,2,7164,8,2277.0,1000.0,3277.0
non alimentare,Mancante,PLE,CIMITERO MAGGIORE,12,7442,8,270.0,270.0,540.0
non alimentare,Mancante,PTA,BOSSI MAURILIO,4,116,1,400.0,800.0,1200.0
